Month,Anti-social behaviour,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Other crime,Other theft,Possession of weapons,Public order,Robbery,Shoplifting,Theft from the person,Vehicle crime,Violence and sexual offences,All
2020-03,23014,1078,5362,4392,3657,813,7531,483,3966,2711,2996,3414,9621,18371,87409
2020-04,62763,1060,3661,3496,4978,751,3884,460,3464,1101,1691,677,6327,15638,109951
2020-05,58502,1768,3886,3906,6427,823,4443,533,4250,1293,1956,795,7277,18149,114008
2020-06,39584,2548,4320,4353,4665,882,5387,463,4966,1705,2400,1194,8102,19629,100198
2020-07,35588,2833,4928,4692,4569,892,6977,453,5584,2168,3099,2072,8811,20991,103657
2020-08,35842,3019,4995,4710,3534,780,7647,451,5490,2530,3006,2542,8919,21317,104782
2020-09,30863,3078,5195,4274,3541,964,7516,503,5167,2599,3060,2696,9829,20348,99633
2020-10,31186,2619,5618,4214,4124,812,7248,500,4577,2440,3222,3225,10148,19538,99471
2020-11,33863,1985,5209,4205,4410,981,5734,511,4239,2286,2770,2568,9172,18981,96914
2020-12,29377,1313,4765,4087,3624,779,6331,392,3888,2021,2690,3075,7758,17836,87936
2021-01,33642,1058,4299,3634,3708,744,4827,350,3448,1445,2092,1619,7675,16307,84848
2021-02,29154,1107,4062,3551,4063,740,4616,378,3379,1324,2243,1516,7626,16215,79974
2021-03,30615,1620,4715,4222,4225,915,5271,404,4934,1666,2477,2156,8345,20101,91666
2021-04,27127,1843,4203,4308,3791,879,6123,338,4977,1710,2687,2569,7126,19518,87199
2021-05,26136,2056,4235,4734,3450,953,6814,381,5506,1768,3004,3155,7848,22185,92225
2021-06,27629,2110,4286,4903,3238,814,8167,408,5766,1911,2964,2889,8083,22359,95527
2021-07,26214,2196,4262,4698,3291,895,8283,433,5962,1877,2976,3163,7729,22626,94605
2021-08,23330,2044,4403,4609,3252,767,8225,404,4892,1935,3195,3191,8840,20153,89240
2021-09,21904,2189,4445,4554,3031,876,8969,406,5261,2252,2728,3440,9186,21640,90881
2021-10,20998,1999,4812,4664,3726,958,9426,455,5287,2302,3052,4573,9363,22377,93992
All,647331,39523,91661,86206,79304,17018,133419,8706,95003,39044,54308,50529,167785,394279,1904116
